CMDLINE /usr/bin/python3 loop_benchmark.py
MEM 1.484375 1547324703.0507
MEM 14.601562 1547324703.1511
MEM 53.269531 1547324703.2515
MEM 53.269531 1547324703.3518
MEM 53.269531 1547324703.4522
MEM 53.269531 1547324703.5525
MEM 53.269531 1547324703.6529
MEM 53.269531 1547324703.7532
MEM 53.269531 1547324703.8536
MEM 53.269531 1547324703.9539
MEM 53.269531 1547324704.0543
MEM 53.269531 1547324704.1546
MEM 53.269531 1547324704.2550
MEM 53.269531 1547324704.3554
MEM 53.269531 1547324704.4557
MEM 53.269531 1547324704.5561
MEM 53.269531 1547324704.6564
