CMDLINE /home/a9fb1e/anaconda3/envs/dl_py3/bin/python loop_benchmark.py
MEM 1.839844 1547922527.8833
MEM 26.656250 1547922527.9836
MEM 53.210938 1547922528.0839
MEM 53.210938 1547922528.1843
MEM 53.210938 1547922528.2846
MEM 53.210938 1547922528.3849
MEM 53.210938 1547922528.4853
MEM 53.210938 1547922528.5856
MEM 53.210938 1547922528.6860
MEM 53.210938 1547922528.7863
MEM 53.210938 1547922528.8866
MEM 53.210938 1547922528.9870
MEM 53.210938 1547922529.0873
MEM 53.210938 1547922529.1877
MEM 23.796875 1547922529.2882
